Number,Rooms,Square,Price,Metro,Address,Url
38,2-к квартира,66.1,7500000,Ленинский проспект ,"улица Адмирала Коновалова, 2-4",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_66.1_m_720_et._1070966450
554,4-к квартира,125.9,12990000,Василеостровская ,"ул Уральская, 2",https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_125.9_m_410_et._1208886899
17,1-к квартира,30.5,2600000,Проспект Ветеранов ,ул Генерала Симоняка 25,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_30.5_m_19_et._951155472
11,1-к квартира,40.2,4700000,Ленинский проспект ,"Ленинский проспект, д.88",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_40.2_m_916_et._1172622570
467,2-к квартира,59.0,5860000,Улица Дыбенко ,Якутская 30 к 2,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_59_m_1825_et._945789658
225,1-к квартира,31.1,3000000,Звездная ,"Витебский проспект, д.87 к.2",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_31.1_m_55_et._1169948913
458,3-к квартира,62.9,6300000,Международная ,"Пражская ул, 37",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_62.9_m_99_et._1211176574
15,2-к квартира,45.0,3790000,Проспект Просвещения ,"Художников пр-кт, 31к2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_45_m_49_et._1017336112
24,3-к квартира,56.4,4960000,Московская ,"Новоизмайловский пр-кт, 42к2",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_56.4_m_45_et._1056324869
604,1-к квартира,49.0,5199000,Комендантский проспект ,"ул Глухарская, 11к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_49_m_45_et._1013756677
86,1-к квартира,33.0,1600000,Ленинский проспект ,"Михайловская улица, 10/2",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_33_m_59_et._941717433
179,1-к квартира,49.8,5986557,Василеостровская ,Уральская ул.,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_49.8_m_712_et._1066347338
308,Студия,15.0,1700000,Проспект Просвещения ,"Придорожная аллея, 3",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_15_m_19_et._1010695145
640,1-к квартира,36.3,3700000,Пролетарская ,Александровской Фермы пр-кт д 8,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_36.3_m_1225_et._12962138
64,1-к квартира,43.5,1950000,Ладожская ,Рябовское шоссе 139,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_43.5_m_33_et._1093496342
629,3-к квартира,97.0,5800000,Звездная ,ул Октябрьская,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_97_m_210_et._906605813
680,Студия,27.0,3230000,Ладожская ,Энергетиков пр-кт д.9,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_27_m_1421_et._998003782
297,5-к квартира,500.0,49500000,Чернышевская ,"Кирочная улица, д.22",https://www.avito.ru/sankt-peterburg/kvartiry/5-k_kvartira_500_m_25_et._1186945257
776,1-к квартира,33.5,3498570,Обводный канал ,"Лиговский пр-кт, д.271 к.271",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_33.5_m_611_et._1058258980
328,Студия,20.3,1990000,Выборгская ,"Маршала Блюхера пр-кт, 57к1",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_20.3_m_15_et._1144135479
340,1-к квартира,51.2,6895000,Василеостровская ,"Россия, Санкт-Петербург, Уральская улица, 4",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_51.2_m_810_et._1050446227
337,2-к квартира,60.0,6900000,Приморская ,"улица Кораблестроителей, д.12 к.2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_60_m_614_et._945347226
51,5-к квартира,97.3,8800000,Технологический ин-т I ,Московский проспект 20,https://www.avito.ru/sankt-peterburg/kvartiry/5-k_kvartira_97.3_m_45_et._937941926
327,3-к квартира,100.2,11500000,Автово ,"Автовская улица, д.26",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_100.2_m_35_et._1077014573
236,2-к квартира,70.3,5480000,Девяткино ,менделеева,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_70.3_m_1217_et._1141782424
613,Студия,24.7,2200000,Ладожская ,"ул. Маршала Тухачевского, д. 23",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_24.7_m_816_et._1031153936
561,1-к квартира,38.3,3496790,Улица Дыбенко ,"Октябрьская наб., уч. 52",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_38.3_m_1124_et._966079621
89,1-к квартира,31.0,3300000,Лесная ,"Кондратьевский пр-кт, 79",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_31_m_99_et._1088397566
549,3-к квартира,58.5,4600000,Ломоносовская ,"ул Бабушкина, 89к2",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_58.5_m_15_et._1061184470
503,Студия,29.8,3690000,Проспект Большевиков ,"ул. Складская, уч. 27",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_29.8_m_1616_et._952266415
511,2-к квартира,51.5,7000000,Василеостровская ,"Косая линия, 24/25",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_51.5_m_26_et._760138735
542,1-к квартира,35.6,2600000,Девяткино ,"улица Шоссе в Лаврики, д.59 к.1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35.6_m_1017_et._926328208
296,3-к квартира,154.7,27000000,Проспект Просвещения ,"Большая Озёрная улица, д.77",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_154.7_m_24_et._1096936951
166,1-к квартира,35.0,3650000,Автово ,"ул Маршала Казакова, дом 78,",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35_m_220_et._1017136385
483,Студия,37.4,2390000,Рыбацкое ,"г. Колпино, ул Загородная",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_37.4_m_59_et._1197138096
99,Студия,25.4,4000000,Гражданский проспект ,"Брянцева ул, 13",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_25.4_m_225_et._930111129
610,Студия,18.0,1680000,Рыбацкое ,"Шлиссельбургский пр-кт, 5к2",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_18_m_19_et._1076651507
