id,Rooms,Square,Price,Metro,Address,Url
52,0,26,2500000,Купчино ,"Ростовская улица, 13-15",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_26_m_29_et._958023044
53,2,51.6,6300000,Ленинский проспект ,"Ленинский проспект, 91",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_51.6_m_1116_et._1162077146
54,3,125,22999999,Старая деревня ,"Приморский проспект, 62к1",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_125_m_1313_et._925330052
55,2,80,9000000,Удельная ,"ул Манчестерская, 10к2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_80_m_916_et._843371103
56,2,47.1,3300000,Купчино ,Колпино ул.Труда д20/7,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_47.1_m_15_et._930379125
57,3,72.3,5999000,Садовая ,"Писарева ул., д. 14",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_72.3_m_25_et._919031118
58,3,59,4700000,Звездная ,космонавтов дом94,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_59_m_35_et._1192083428
59,3,115,17000000,Удельная ,"Костромской проспект, дом 48",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_115_m_210_et._1005016128
60,2,60,3695000,Проспект Просвещения ,"п. Парголово, ул Тихоокеанская д.12",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_60_m_1119_et._880621604
61,2,61,3750000,Купчино ,"п. Шушары, Вилеровский пер. д.8",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_61_m_1123_et._880618878
62,0,27,2990000,Купчино ,"п. Шушары, Вилеровский переулок, д.6",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_27_m_1223_et._1116352954
63,4,73.3,6100000,Купчино ,ул Купчинская д.20 к.2,https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_73.3_m_89_et._1023669188
64,1,41.2,3800000,Проспект Просвещения ,Выборгское шоссе д.31,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_41.2_m_712_et._1211426163
65,2,57,4870000,Девяткино ,Бульвар Менделеева,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_57_m_1421_et._1191106788
66,0,23.7,1970000,Девяткино ,"Петровский б-р/пр. Авиаторов Балтики, Дом 3",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_23.7_m_2224_et._570224183
67,2,54.6,3750000,Девяткино ,"ул. Шувалова, Дом 6",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_54.6_m_1019_et._989490220
68,1,35,3600000,Автово ,"ул Маршала Казакова, дом 78,",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35_m_220_et._1017136385
69,2,45,4500000,Гражданский проспект ,"Гражданский пр-кт, 108Ак2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_45_m_55_et._1071143435
71,1,38,2650000,Купчино ,"посёлок Шушары, Новгородский проспект, 6",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_38_m_1224_et._1088381747
72,3,101,12500000,Василеостровская ,"18-я линия Васильевского острова, 45",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_101_m_29_et._1129779329
73,2,60.1,6450000,Комендантский проспект ,Богатырский пр-кт 51-1,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_60.1_m_816_et._1073276435
74,4,109.5,15850000,Черная речка ,"Сестрорецк , ул. Токарева д.14 А",https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_109.5_m_35_et._990037278
75,2,54.1,4500000,Купчино ,"Россия, Санкт-Петербург, Пушкин, Московское шоссе, 2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_54.1_m_13_et._933968667
76,1,32.3,1850000,Парнас ,"ул. Тихоокеанская, Корпус 27",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_32.3_m_2125_et._938415718
77,2,57,4860000,Девяткино ,"б-р Петровский, д. 11, к. 1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_57_m_1022_et._941295266
78,3,117,25000000,Приморская ,"Гаванская 4, к 2",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_117_m_77_et._1157637516
79,2,45,3850000,Купчино ,"г. Пушкин, ул. Генерала Хазова д 32",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_45_m_25_et._1062768439
80,1,36,2690000,Девяткино ,"ул. Оборонная, 1 оч.",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_36_m_913_et._967251474
81,1,48,4350000,Лесная ,"просп. Маршала Блюхера, уч. 13",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_48_m_516_et._1208871564
82,1,23,2300000,Проспект Ветеранов ,"Дачный пр-кт, д. 3к4",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_23_m_19_et._967561169
83,3,54.5,6750680,Ленинский проспект ,Героев пр-кт,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_54.5_m_1923_et._1088551520
84,2,73.8,7014800,Удельная ,"просп. Тореза, д. 118, лит. А",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_73.8_m_824_et._1063660508
85,2,75.4,7389200,Удельная ,"просп. Тореза, д. 118, лит. А",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_75.4_m_1424_et._1042242463
86,3,56.3,7123672,Ленинский проспект ,Героев пр-кт,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_56.3_m_1823_et._963257081
87,1,32,2350268,Комендантский проспект ,Комендантский пр-кт,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_32_m_1619_et._1153555417
88,1,34.1,2455920,Комендантский проспект ,Комендантский пр-кт,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_34.1_m_419_et._1018478014
89,0,22.9,1717500,Комендантский проспект ,Комендантский пр-кт,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_22.9_m_919_et._948339728
90,0,27.6,2259100,Старая деревня ,"ул. Полевая Сабировская, д. 45а, лит. А",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_27.6_m_1021_et._1199994515
91,1,31.4,2278438,Ломоносовская ,Октябрьская наб.,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_31.4_m_624_et._1138217346
92,1,35.5,2594835,Ломоносовская ,Октябрьская наб.,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35.5_m_2124_et._1081420881
93,1,31.3,2556245,Ломоносовская ,Октябрьская наб.,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_31.3_m_923_et._1078424301
94,0,33.3,2730600,Старая деревня ,"ул. Полевая Сабировская, д. 45а, лит. А",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_33.3_m_2021_et._945313991
95,2,58,3948082,Ломоносовская ,Октябрьская наб.,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_58_m_1524_et._1155616948
96,0,30.2,2345620,Рыбацкое ,"ул. Славянская, корп. 13",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_30.2_m_1427_et._1143722831
97,1,36.2,2489249,Рыбацкое ,Советский пр-кт,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_36.2_m_127_et._1057363625
98,1,35,2535874,Рыбацкое ,"ул. Славянская, д. 24, стр. 1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35_m_127_et._948758713
99,0,34.8,4709449,Василеостровская ,"ул. Уральская, д. 4, лит. А",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_34.8_m_811_et._968901599
100,1,38.9,3481550,Улица Дыбенко ,Октябрьская наб.,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_38.9_m_825_et._976512443
101,3,58,4750000,Международная ,"Турку, д. 12, корп. 2",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_58_m_312_et._947738677
102,2,63,6800000,Приморская ,"Россия, Санкт-Петербург, улица Вадима Шефнера, 10к1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_63_m_1724_et._987213351
103,1,30,2850000,Озерки ,сикейроса дом 7,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_30_m_29_et._941361228
